UNITID,cs_stat,cs_pval,noncs_stat,noncs_pval,quadrant
153144,0.517114004220628,0.10332597184542262,0.9424354818730378,1.4188148574334566e-05,1
153162,-0.1325111119575652,0.6977237912558334,0.3651829859842333,0.26945061802461195,3
153250,0.6731250590586739,0.02320081188193756,0.8465016883816355,0.0010153032123509558,1
153269,0.3209262278570195,0.33591489724590096,0.7246536621179368,0.011648696690321437,1
153278,0.41422331041858906,0.20530619989047746,0.6234745464386092,0.040403136264836374,1
153302,0.3999999999999999,0.22286835013351997,0.15938522465265464,0.63970815025623,1
153366,0.03401356127254579,0.9209160994662113,0.7513204679337172,0.007683459377136234,1
153375,0.1,0.7698749998921364,0.8681455292562472,0.000529381053779784,1
153384,0.15591911543411496,0.647097502346995,0.4399605254905001,0.1756937332433568,1
153603,0.6606469350110429,0.026907822349133265,0.9388651671236073,1.850366173930815e-05,1
153658,0.11493936408337913,0.7364809484823979,0.966062884510688,1.3621143845537742e-06,1
153825,-0.16349849372756275,0.6309771389483846,0.8949358802447164,0.00019829573228991368,3
153834,0.6944566576321601,0.01772647759618528,0.5012633909369038,0.11623530147869474,1
154095,-0.15923722969007212,0.6400230646356895,0.9065131233180377,0.000119294863782305,3
154235,0.6918858227787676,0.01833138846084116,0.8258080783248313,0.0017380203782115936,1
154350,0.37538599534048234,0.255273428194514,0.7487676689618505,0.008012494625075669,1
154493,0.3397976559061419,0.3065963810223841,0.7658587212088093,0.005994496392761154,1
154527,-0.19999999999999996,0.5554454421055853,0.7758461752415213,0.005004313942923475,3
154688,-0.2794782784191072,0.405232970947518,0.7826998839508706,0.004398425523376466,3
155025,0.2515793488305632,0.45551439314686193,0.40785706521998966,0.2130614028528082,1
155061,0.4200963615292006,0.19830334404816247,0.9478879937697428,9.139243139592588e-06,1
155089,0.5080927755319313,0.11055242486497784,0.6231431729723895,0.040541077085359256,1
155317,0.7255245387810516,0.011499763381979005,0.9589963820756385,3.1580549317774327e-06,1
155335,0.5217491947499509,0.09973576000996555,0.7631501473101597,0.006286168861082619,1
155399,0.5651657159398503,0.07002158568211969,0.9387272011733245,1.8688538360526092e-05,1
155414,-0.05550846186920409,0.8712281668890992,0.555064783062203,0.07631871054718592,3
155681,0.11185092713435091,0.7433530195583826,0.8123465248684613,0.002379913279513375,1
155900,0.09806795908730567,0.7742206652033149,0.6469346322880809,0.031443198042412336,1
156082,0.7692502557688923,0.0056434463046089334,0.8468223974954576,0.0010062820246246628,1
156286,0.07826237921249266,0.8190848716110507,0.5745500041887108,0.06449318235603868,1
156295,0.5655088063742351,0.06981405043726516,0.8907314140188001,0.000235111755304415,1
156408,0.04032783909667585,0.9062862757400983,0.761971594048241,0.00641627902292402,1
156620,0.11075088303030904,0.7458048160608699,0.7392030321710673,0.009337300362459507,1
157058,0.7089567870475826,0.014579131510090724,0.7620750226750684,0.006404782299673691,1
157085,0.34343538275680463,0.30111074334668386,0.9831882533335414,5.918139910379659e-08,1
157386,0.1549328638849743,0.6492053493950151,0.8087276019241427,0.002579119892305835,1
157401,-0.035119185017854174,0.9183527254301651,0.8046571001802301,0.002817728619634897,3
157447,0.3922664040061584,0.23277532201752793,0.9064898476776095,0.00011942445339809895,1
157818,0.7971953098149474,0.003297248288373106,0.45108864897021894,0.16375039141127193,1
157951,0.5754999482327664,0.06395055922215556,0.8993792556081761,0.00016433698607668207,1
159009,0.347670244150146,0.29479282285884645,0.7539956349288373,0.00734936673341438,1
159391,0.4947879162198731,0.1217943562557852,0.974759155700638,3.640088303036882e-07,1
159416,-0.41527097564794513,0.20404633819112356,-0.07731859201022721,0.8212360173079474,4
159647,0.319041452631761,0.3389215887088237,0.8021939178277474,0.0029698621591574595,1
159717,-0.19999999999999996,0.5554454421055853,0.8863299430278727,0.00027899560073108725,3
159939,0.22516532193345629,0.5056181190938634,0.9446791914618884,1.190288814570519e-05,1
160038,0.48865045629722664,0.12721788855415164,0.8730391363992895,0.000449834419332188,1
160612,0.7555364268071599,0.007161837310903146,0.8995134669938276,0.000163385508546659,1
160621,-0.16566307331251645,0.6263993647952839,0.10748475437268444,0.7530968199989703,3
160658,0.6650500555502381,0.025555227742820943,0.9249062886869588,4.5737052964110913e-05,1
160755,0.3274587171294049,0.3256037319518571,0.7962031451066434,0.0033652874389166897,1
160904,-0.27309767282448216,0.4164837165229826,0.18554634089060515,0.5849177910555984,3
161004,-0.37109568854216685,0.2611819083447608,-0.0605296402569767,0.8596750498093707,4
161086,0.7887110641088282,0.003913204647160499,0.9111449351165416,9.556417258104563e-05,1
161217,0.7912296767751681,0.003722157101553199,0.734902361096593,0.009982166618206209,1
161226,-0.19999999999999993,0.5554454421055853,0.5495451789382609,0.07991449963394996,3
161253,0.4999999999999999,0.11730680301423828,0.9445523605531754,1.2023952836257967e-05,1
161554,0.25904804581367535,0.44178024645273944,0.6823107236032346,0.02071459062601294,1
161563,0.14151024312044672,0.6781169309466594,0.42190950501481056,0.19617077086311976,1
161873,-0.6541204766485724,0.02900451631878773,0.7645654667053348,0.006132491378664776,3
162007,0.14291107742821207,0.675080575721342,0.9442667969767207,1.2300001542852777e-05,1
162061,0.2801356728825412,0.40408236954611265,0.30508561350284413,0.3616216277254403,1
162210,0.28564434056189375,0.39450426772272756,0.7882349921923293,0.003950116315441974,1
162584,0.21031602008886569,0.5347840288452036,0.5890275110902875,0.05655569548545412,1
162654,0.2602179193281132,0.43964681033735037,0.7700992785418594,0.005557985847295396,1
162760,0.02844852931523833,0.9338283657890301,0.8256879888608898,0.0017430983684636014,1
162928,-0.02484318823539447,0.9422014827093633,0.9122191050243248,9.061830811822328e-05,3
163046,0.5457748957014226,0.08243444314797645,0.7935790845126244,0.003550253865136412,1
163204,0.9032029113694314,0.00013883218357963918,0.9438174022755121,1.2744268650433348e-05,1
163268,0.6425349941367421,0.03300533683361218,0.9320689235965771,2.9439897797311467e-05,1
163286,0.8345030680597775,0.0013987942483630704,0.9443642392998637,1.220526372810497e-05,1
163338,0.3999999999999999,0.22286835013351997,0.5960024407198703,0.05298081777455165,1
163453,0.06648639383737952,0.84600140881419,0.2543573920717726,0.45038297735561744,1
163462,0.2628281679599802,0.4349042177879695,0.7886824652562292,0.003915414791809142,1
163851,0.2310527103884618,0.4942492703796119,0.3126903097292273,0.3491570275853104,1
163912,0.4863173599680035,0.12931931629354876,0.7049857749590385,0.015397439173410589,1
164076,0.8688096433286554,0.0005180054406680807,0.9927858690823266,1.3327557803866057e-09,1
164155,-0.03888441111442606,0.9096284619691171,-0.03957131721194604,0.9080377978045716,4
164173,0.4990492549302307,0.1181173222596158,0.9559981334967411,4.319618163734918e-06,1
164216,0.4530761962245389,0.16167159267252432,0.8848086700816323,0.00029552283282542125,1
